year,week,team,player,position,injury
2016,1,Arizona Cardinals,Justin Bethel,DB,Foot
2016,1,Arizona Cardinals,Lamar Louis,LB,Knee
2016,1,Arizona Cardinals,Kareem Martin,LB,Knee
2016,1,Arizona Cardinals,Alex Okafor,DE,Biceps
2016,1,Arizona Cardinals,Frostee Rucker,DE,Neck
2016,1,Arizona Cardinals,Stepfan Taylor,RB,Knee
2016,1,Atlanta Falcons,Adrian Clayborn,DE,Shoulder
2016,1,Atlanta Falcons,Dashon Goldson,DB,Hamstring
2016,1,Atlanta Falcons,Kemal Ishmael,DB,Shoulder
2016,1,Atlanta Falcons,Julio Jones,WR,Ankle
2016,1,Atlanta Falcons,Keanu Neal,DB,Knee
2016,1,Atlanta Falcons,Robenson Therezie,DB,Multiple
2016,1,Atlanta Falcons,Terron Ward,RB,Ankle
2016,1,Baltimore Ravens,Kenneth Dixon,RB,Knee
2016,1,Baltimore Ravens,Elvis Dumervil,DE,Foot
2016,1,Baltimore Ravens,Dennis Pitta,TE,Finger
2016,1,Baltimore Ravens,Jerraud Powers,DB,Ankle
2016,1,Baltimore Ravens,John Urschel,C,Shoulder
2016,1,Baltimore Ravens,Maxx Williams,TE,Knee
2016,1,Baltimore Ravens,Shareece Wright,DB,Foot
2016,1,Buffalo Bills,Colt Anderson,DB,Foot
2016,1,Buffalo Bills,Ryan Groy,C,Rib
2016,1,Buffalo Bills,Cardale Jones,QB,Shoulder
2016,1,Buffalo Bills,Kevon Seymour,DB,Hamstring
2016,1,Buffalo Bills,Jonathan Williams,RB,Rib
2016,1,Carolina Panthers,Vernon Butler,DT,Hand
2016,1,Carolina Panthers,A.J. Klein,LB,Back
2016,1,Carolina Panthers,Dean Marlowe,DB,Hamstring
2016,1,Chicago Bears,Josh Bellamy,WR,Shoulder
2016,1,Chicago Bears,Deon Bush,DB,Hamstring
2016,1,Chicago Bears,Bryce Callahan,DB,Groin
2016,1,Chicago Bears,Kyle Fuller,DB,Knee
2016,1,Chicago Bears,Paul Lasike,RB,Wrist
2016,1,Chicago Bears,Kyle Long,OG,Shoulder
2016,1,Chicago Bears,Deonte Thompson,WR,Multiple
2016,1,Chicago Bears,Cornelius Washington,DE,Multiple
2016,1,Chicago Bears,Kevin White,WR,Hamstring
2016,1,Cincinnati Bengals,Rex Burkhead,RB,Shoulder
2016,1,Cincinnati Bengals,Cody Core,WR,Other
2016,1,Cincinnati Bengals,Darqueze Dennard,DB,Ankle
2016,1,Cincinnati Bengals,Tyler Eifert,TE,Ankle
2016,1,Cincinnati Bengals,Jake Fisher,OT,Multiple
2016,1,Cincinnati Bengals,T.J. Johnson,OG,Concussion
2016,1,Cincinnati Bengals,Adam Jones,DB,Calf
2016,1,Cincinnati Bengals,Tyler Kroft,TE,Knee
2016,1,Cincinnati Bengals,Cedric Ogbuehi,OT,Toe
2016,1,Cincinnati Bengals,Pat Sims,DT,Achilles
2016,1,Cincinnati Bengals,James Wright,WR,Knee
2016,1,Cleveland Browns,Marcus Burley,DB,Groin
2016,1,Cleveland Browns,Tracy Howard,DB,Hamstring
2016,1,Cleveland Browns,Ricardo Louis,WR,Hamstring
2016,1,Cleveland Browns,Emmanuel Ogbah,DE,Hamstring
2016,1,Cleveland Browns,Tramon Williams,DB,Toe
2016,1,Dallas Cowboys,Ronald Leary,OG,Groin
2016,1,Dallas Cowboys,Mark Nzeocha,LB,Achilles
2016,1,Dallas Cowboys,Tony Romo,QB,Back
2016,1,Dallas Cowboys,Charles Tapper,DE,Back
2016,1,Denver Broncos,Kapri Bibbs,RB,Quadricep
2016,1,Denver Broncos,James Ferentz,C,Knee
2016,1,Denver Broncos,Bennie Fowler,WR,Elbow
2016,1,Denver Broncos,Max Garcia,OG,Groin
2016,1,Denver Broncos,Jeff Heuerman,TE,Ankle
2016,1,Denver Broncos,Ty Sambrailo,OT,Elbow
2016,1,Denver Broncos,Demarcus Ware,LB,Back
2016,1,Denver Broncos,Darrion Weems,OT,Concussion
2016,1,Denver Broncos,Billy Winn,DE,Back
2016,1,Detroit Lions,Eric Ebron,TE,Ankle
2016,1,Detroit Lions,Graham Glasgow,OG,Toe
2016,1,Detroit Lions,Corey Robinson,OT,Ankle
2016,1,Detroit Lions,Golden Tate,WR,Ankle
2016,1,Green Bay Packers,Chris Banjo,DB,Hamstring
2016,1,Green Bay Packers,Trevor Davis,WR,Shoulder
2016,1,Green Bay Packers,Jayrone Elliott,LB,Hamstring
2016,1,Green Bay Packers,Josh Hawkins,DB,Hamstring
2016,1,Green Bay Packers,Jeff Janis,WR,Hand
2016,1,Green Bay Packers,Justin Perillo,TE,Knee
2016,1,Houston Texans,Duane Brown,OT,Knee
2016,1,Houston Texans,Akeem Dent,LB,Concussion
2016,1,Houston Texans,Will Fuller,WR,Hamstring
2016,1,Houston Texans,Derek Newton,OT,Hamstring
2016,1,Houston Texans,J.J. Watt,DE,Back
2016,1,Indianapolis Colts,Henry Anderson,DE,Knee
2016,1,Indianapolis Colts,Darius Butler,DB,Ankle
2016,1,Indianapolis Colts,Vontae Davis,DB,Ankle
2016,1,Indianapolis Colts,Clayton Geathers,DB,Foot
2016,1,Indianapolis Colts,Joe Haeg,OT,Ankle
2016,1,Indianapolis Colts,Kendall Langford,DE,Knee
2016,1,Indianapolis Colts,Andrew Luck,QB,Shoulder
2016,1,Indianapolis Colts,Jack Mewhort,OG,Knee
2016,1,Indianapolis Colts,Sio Moore,LB,Hamstring
2016,1,Indianapolis Colts,Joe Reitz,OG,Back
2016,1,Jacksonville Jaguars,Chris Ivory,RB,Calf
2016,1,Jacksonville Jaguars,Roy Miller,DT,Quadricep
2016,1,Jacksonville Jaguars,Jared Odrick,DE,Multiple
2016,1,Kansas City Chiefs,Jamaal Charles,RB,Knee
2016,1,Kansas City Chiefs,Phillip Gaines,DB,Knee
2016,1,Kansas City Chiefs,Tamba Hali,LB,Knee
2016,1,Kansas City Chiefs,Charcandrick West,RB,Elbow
2016,1,Los Angeles Rams,Pharoh Cooper,WR,Shoulder
2016,1,Los Angeles Rams,E.J. Gaines,DB,Thigh
2016,1,Los Angeles Rams,Bryce Hager,LB,Concussion
2016,1,Los Angeles Rams,Rob Havenstein,OT,Foot
2016,1,Los Angeles Rams,Nelson Spruce,WR,Knee
2016,1,Miami Dolphins,Terrence Fede,DE,Knee
2016,1,Miami Dolphins,Jelani Jenkins,LB,Knee
2016,1,Miami Dolphins,Earl Mitchell,DT,Calf
2016,1,Miami Dolphins,DeVante Parker,WR,Hamstring
2016,1,Miami Dolphins,Isaiah Pead,RB,Hamstring
2016,1,Miami Dolphins,Mike Pouncey,C,Hip
2016,1,Miami Dolphins,Laremy Tunsil,OT,Knee
2016,1,Minnesota Vikings,Nick Easton,OG,Ankle
2016,1,Minnesota Vikings,Rhett Ellison,TE,Knee
2016,1,Minnesota Vikings,Anthony Harris,DB,Shoulder
2016,1,Minnesota Vikings,Charles Johnson,WR,Quadricep
2016,1,Minnesota Vikings,Matt Kalil,OT,Hip
2016,1,Minnesota Vikings,Jerick McKinnon,RB,Foot
2016,1,Minnesota Vikings,MyCole Pruitt,TE,Knee
2016,1,Minnesota Vikings,Xavier Rhodes,DB,Hamstring
2016,1,New England Patriots,Jonathan Cooper,OG,Foot
2016,1,New England Patriots,Trey Flowers,DE,Shoulder
2016,1,New England Patriots,Rob Gronkowski,TE,Hamstring
2016,1,New England Patriots,Chris Hogan,WR,Shoulder
2016,1,New England Patriots,Shaquille Mason,OG,Hand
2016,1,New England Patriots,Shea McClellin,LB,Shoulder
2016,1,New England Patriots,Malcolm Mitchell,WR,Elbow
2016,1,New England Patriots,Nate Solder,OT,Hamstring
2016,1,New Orleans Saints,Terron Armstead,OT,Multiple
2016,1,New Orleans Saints,Dannell Ellerbe,LB,Quadricep
2016,1,New Orleans Saints,Chris Manhertz,TE,Other
2016,1,New Orleans Saints,Michael Thomas,WR,Ankle
2016,1,New York Giants,Jonathan Casillas,LB,Rib
2016,1,New York Giants,Robert Thomas,DT,Illness
2016,1,New York Giants,Darian Thompson,DB,Shoulder
2016,1,New York Jets,Bruce Carter,LB,Shoulder
2016,1,New York Jets,Quincy Enunwa,WR,Concussion
2016,1,New York Jets,David Harris,LB,Shoulder
2016,1,New York Jets,Jordan Jenkins,LB,Calf
2016,1,New York Jets,Brandon Marshall,WR,Hip
2016,1,New York Jets,Steve McLendon,DT,Multiple
2016,1,New York Jets,Bryce Petty,QB,Shoulder
2016,1,New York Jets,Darryl Roberts,DB,Foot
2016,1,New York Jets,Muhammad Wilkerson,DE,Ankle
2016,1,New York Jets,Leonard Williams,DE,Hip
2016,1,Oakland Raiders,Austin Howard,OT,Ankle
2016,1,Philadelphia Eagles,Trey Burton,TE,Calf
2016,1,Philadelphia Eagles,Vinny Curry,DE,Knee
2016,1,Philadelphia Eagles,Bryce Treggs,WR,Knee
2016,1,Pittsburgh Steelers,Marcus Gilbert,OT,Elbow
2016,1,Pittsburgh Steelers,Senquez Golson,DB,Foot
2016,1,Pittsburgh Steelers,Javon Hargrave,DT,Quadricep
2016,1,Pittsburgh Steelers,Cameron Heyward,DT,Ankle
2016,1,Pittsburgh Steelers,Daniel McCullers,DT,Knee
2016,1,Pittsburgh Steelers,Roosevelt Nix,RB,Back
2016,1,Pittsburgh Steelers,Shamarko Thomas,DB,Groin
2016,1,Pittsburgh Steelers,Cody Wallace,C,Knee
2016,1,Pittsburgh Steelers,Markus Wheaton,WR,Shoulder
2016,1,San Diego Chargers,D.J. Fluker,OG,Ankle
2016,1,San Diego Chargers,Jason Verrett,DB,Calf
2016,1,San Francisco 49ers,Arik Armstead,DE,Shoulder
2016,1,San Francisco 49ers,Nick Bellore,RB,Knee
2016,1,San Francisco 49ers,Chris Davis,DB,Hamstring
2016,1,San Francisco 49ers,Quinton Dial,DT,Knee
2016,1,San Francisco 49ers,Glenn Dorsey,DE,Knee
2016,1,San Francisco 49ers,Keith Reaser,DB,Ankle
2016,1,Seattle Seahawks,Jimmy Graham,TE,Knee
2016,1,Seattle Seahawks,Germain Ifedi,OT,Ankle
2016,1,Seattle Seahawks,Thomas Rawls,RB,Illness
2016,1,Seattle Seahawks,Jarran Reed,DT,Toe
2016,1,Seattle Seahawks,Tharold Simon,DB,Knee
2016,1,Seattle Seahawks,Nick Vannett,TE,Ankle
2016,1,Tampa Bay Buccaneers,Devante Bond,LB,Hamstring
2016,1,Tampa Bay Buccaneers,Ryan Smith,DB,Hand
2016,1,Tampa Bay Buccaneers,Luke Stocker,TE,Back
2016,1,Tennessee Titans,Kendall Wright,WR,Hamstring
2016,1,Washington Redskins,Josh Doctson,WR,Achilles
2016,1,Washington Redskins,Kedric Golston,DE,Back
2016,1,Washington Redskins,Matt Jones,RB,Shoulder
2016,1,Washington Redskins,Spencer Long,OG,Ankle
2016,1,Washington Redskins,Ty Nsekhe,OT,Illness
2016,1,Washington Redskins,Kendall Reyes,DE,Groin
2016,2,Arizona Cardinals,Justin Bethel,DB,Foot
2016,2,Arizona Cardinals,Jaron Brown,WR,Ankle
2016,2,Arizona Cardinals,Drew Butler,P,Ankle
2016,2,Arizona Cardinals,Larry Fitzgerald,WR,Knee
2016,2,Arizona Cardinals,Kareem Martin,LB,Knee
2016,2,Arizona Cardinals,Evan Mathis,OG,Foot
2016,2,Arizona Cardinals,Tyrann Mathieu,DB,Knee
2016,2,Arizona Cardinals,Kevin Minter,LB,Ankle
2016,2,Arizona Cardinals,J.J. Nelson,WR,Shoulder
2016,2,Arizona Cardinals,Robert Nkemdiche,DT,Ankle
2016,2,Arizona Cardinals,Frostee Rucker,DE,Knee
2016,2,Arizona Cardinals,Stepfan Taylor,RB,Knee
2016,2,Atlanta Falcons,De'Vondre Campbell,LB,Ankle
2016,2,Atlanta Falcons,Devonta Freeman,RB,Quadricep
2016,2,Atlanta Falcons,Julio Jones,WR,Ankle
2016,2,Atlanta Falcons,Keanu Neal,DB,Knee
2016,2,Atlanta Falcons,Brooks Reed,LB,Shoulder
2016,2,Atlanta Falcons,Mohamed Sanu,WR,Ankle
2016,2,Baltimore Ravens,Kenneth Dixon,RB,Knee
2016,2,Baltimore Ravens,Elvis Dumervil,DE,Foot
2016,2,Baltimore Ravens,C.J. Mosley,LB,Thigh
2016,2,Baltimore Ravens,Breshad Perriman,WR,Calf
2016,2,Baltimore Ravens,Jerraud Powers,DB,Ankle
2016,2,Baltimore Ravens,Za'Darius Smith,LB,Ankle
2016,2,Baltimore Ravens,John Urschel,C,Shoulder
2016,2,Buffalo Bills,Colt Anderson,DB,Foot
2016,2,Buffalo Bills,Charles Clay,TE,Knee
2016,2,Buffalo Bills,Jim Dray,TE,Ankle
2016,2,Buffalo Bills,Cordy Glenn,OT,Ankle
2016,2,Buffalo Bills,Cardale Jones,QB,Shoulder
2016,2,Buffalo Bills,Kevon Seymour,DB,Hamstring
2016,2,Buffalo Bills,Sammy Watkins,WR,Foot
2016,2,Buffalo Bills,Jerel Worthy,DE,Knee
2016,2,Carolina Panthers,Dean Marlowe,DB,Hamstring
2016,2,Carolina Panthers,Jonathan Stewart,RB,Ankle
2016,2,Chicago Bears,Kyle Fuller,DB,Knee
2016,2,Cincinnati Bengals,Darqueze Dennard,DB,Ankle
2016,2,Cincinnati Bengals,Carlos Dunlap,DE,Multiple
2016,2,Cincinnati Bengals,Tyler Eifert,TE,Ankle
2016,2,Cincinnati Bengals,Adam Jones,DB,Back
2016,2,Cincinnati Bengals,Pat Sims,DT,Ankle
2016,2,Cincinnati Bengals,James Wright,WR,Knee
2016,2,Cleveland Browns,Marcus Burley,DB,Groin
2016,2,Cleveland Browns,John Greco,OG,Back
2016,2,Cleveland Browns,Derrick Kindred,DB,Ankle
2016,2,Cleveland Browns,Terrelle Pryor,WR,Shoulder
2016,2,Dallas Cowboys,Jack Crawford,DT,Shoulder
2016,2,Dallas Cowboys,Ronald Leary,OG,Groin
2016,2,Dallas Cowboys,Mark Nzeocha,LB,Achilles
2016,2,Dallas Cowboys,Tony Romo,QB,Back
2016,2,Dallas Cowboys,Orlando Scandrick,DB,Hamstring
2016,2,Dallas Cowboys,Geoff Swaim,TE,Ankle
2016,2,Dallas Cowboys,Charles Tapper,DE,Back
2016,2,Denver Broncos,James Ferentz,C,Knee
2016,2,Denver Broncos,Bennie Fowler,WR,Elbow
2016,2,Denver Broncos,Jeff Heuerman,TE,Ankle
2016,2,Denver Broncos,Ty Sambrailo,OT,Multiple
2016,2,Denver Broncos,Demaryius Thomas,WR,Hip
2016,2,Denver Broncos,Demarcus Ware,LB,Back
2016,2,Denver Broncos,Billy Winn,DE,Back
2016,2,Denver Broncos,Derek Wolfe,DE,Neck
2016,2,Detroit Lions,Ezekiel Ansah,DE,Shoulder
2016,2,Detroit Lions,Adairius Barnes,DB,Ankle
2016,2,Detroit Lions,DeAndre Levy,LB,Quadricep
2016,2,Detroit Lions,Cole Wick,TE,Shoulder
2016,2,Green Bay Packers,Chris Banjo,DB,Hamstring
2016,2,Green Bay Packers,Trevor Davis,WR,Shoulder
2016,2,Green Bay Packers,Jayrone Elliott,LB,Hamstring
2016,2,Green Bay Packers,Josh Hawkins,DB,Hamstring
2016,2,Green Bay Packers,Jeff Janis,WR,Hand
2016,2,Green Bay Packers,Sam Shields,DB,Concussion
2016,2,Houston Texans,Jeff Allen,OG,Calf
2016,2,Houston Texans,Duane Brown,OT,Knee
2016,2,Houston Texans,Christian Covington,DT,Groin
2016,2,Houston Texans,Brian Cushing,LB,Knee
2016,2,Houston Texans,Derek Newton,OT,Knee
2016,2,Houston Texans,Jay Prosch,RB,Ankle
2016,2,Houston Texans,John Simon,DE,Wrist
2016,2,Houston Texans,J.J. Watt,DE,Back
2016,2,Indianapolis Colts,Henry Anderson,DE,Knee
2016,2,Indianapolis Colts,Darius Butler,DB,Ankle
2016,2,Indianapolis Colts,Trent Cole,DE,Back
2016,2,Indianapolis Colts,Antonio Cromartie,DB,Hamstring
2016,2,Indianapolis Colts,Vontae Davis,DB,Ankle
2016,2,Indianapolis Colts,Clayton Geathers,DB,Foot
2016,2,Indianapolis Colts,T.J. Green,DB,Knee
2016,2,Indianapolis Colts,Jonotthan Harrison,C,Back
2016,2,Indianapolis Colts,T.Y. Hilton,WR,Knee
2016,2,Indianapolis Colts,Zach Kerr,DE,Foot
2016,2,Indianapolis Colts,Kendall Langford,DE,Knee
2016,2,Indianapolis Colts,Andrew Luck,QB,Shoulder
2016,2,Indianapolis Colts,Robert Mathis,DE,Foot
2016,2,Indianapolis Colts,Joe Reitz,OG,Back
2016,2,Indianapolis Colts,Patrick Robinson,DB,Concussion
2016,2,Jacksonville Jaguars,Prince Amukamara,DB,Hamstring
2016,2,Jacksonville Jaguars,Dante Fowler Jr.,LB,Illness
2016,2,Jacksonville Jaguars,Jermey Parnell,OT,Groin
2016,2,Jacksonville Jaguars,Jalen Ramsey,DB,Ankle
2016,2,Jacksonville Jaguars,Julius Thomas,TE,Ankle
2016,2,Kansas City Chiefs,Sam Barrington,LB,Hamstring
2016,2,Kansas City Chiefs,Jamaal Charles,RB,Knee
2016,2,Kansas City Chiefs,Laurent Duvernay-Tardif,OG,Ankle
2016,2,Kansas City Chiefs,Parker Ehinger,OG,Concussion
2016,2,Kansas City Chiefs,Tamba Hali,LB,Knee
2016,2,Kansas City Chiefs,Spencer Ware,RB,Toe
2016,2,Los Angeles Rams,Michael Brockers,DE,Thigh
2016,2,Los Angeles Rams,Pharoh Cooper,WR,Shoulder
2016,2,Los Angeles Rams,E.J. Gaines,DB,Thigh
2016,2,Los Angeles Rams,Todd Gurley,RB,Other
2016,2,Los Angeles Rams,Lamarcus Joyner,DB,Foot
2016,2,Los Angeles Rams,Nelson Spruce,WR,Knee
2016,2,Miami Dolphins,Jordan Cameron,TE,Thigh
2016,2,Miami Dolphins,Arian Foster,RB,Hamstring
2016,2,Miami Dolphins,Xavien Howard,DB,Knee
2016,2,Miami Dolphins,Jelani Jenkins,LB,Knee
2016,2,Miami Dolphins,DeVante Parker,WR,Hamstring
2016,2,Miami Dolphins,Spencer Paysinger,LB,Biceps
2016,2,Miami Dolphins,Jordan Phillips,DT,Ankle
2016,2,Miami Dolphins,Mike Pouncey,C,Hip
2016,2,Miami Dolphins,Mario Williams,DE,Concussion
2016,2,Minnesota Vikings,Nick Easton,OG,Ankle
2016,2,Minnesota Vikings,Rhett Ellison,TE,Knee
2016,2,Minnesota Vikings,Sharrif Floyd,DT,Knee
2016,2,Minnesota Vikings,Charles Johnson,WR,Quadricep
2016,2,Minnesota Vikings,Matt Kalil,OT,Hip
2016,2,Minnesota Vikings,Eric Kendricks,LB,Ankle
2016,2,Minnesota Vikings,Jerick McKinnon,RB,Multiple
2016,2,Minnesota Vikings,Adrian Peterson,RB,Ankle
2016,2,Minnesota Vikings,MyCole Pruitt,TE,Knee
2016,2,Minnesota Vikings,Xavier Rhodes,DB,Knee
2016,2,Minnesota Vikings,Kyle Rudolph,TE,Knee
2016,2,New England Patriots,Malcolm Butler,DB,Ankle
2016,2,New England Patriots,Marcus Cannon,OT,Knee
2016,2,New England Patriots,Jonathan Cooper,OG,Foot
2016,2,New England Patriots,Trey Flowers,DE,Shoulder
2016,2,New England Patriots,Rob Gronkowski,TE,Hamstring
2016,2,New England Patriots,Dont'a Hightower,LB,Knee
2016,2,New England Patriots,Chris Hogan,WR,Shoulder
2016,2,New England Patriots,Shaquille Mason,OG,Hand
2016,2,New England Patriots,Shea McClellin,LB,Shoulder
2016,2,New England Patriots,Eric Rowe,DB,Ankle
2016,2,New England Patriots,Nate Solder,OT,Hamstring
2016,2,New Orleans Saints,Terron Armstead,OT,Quadricep
2016,2,New Orleans Saints,Delvin Breaux,DB,Fibula
2016,2,New Orleans Saints,Dannell Ellerbe,LB,Quadricep
2016,2,New Orleans Saints,Josh Hill,TE,Ankle
2016,2,New York Giants,Jason Pierre-Paul,LB,Shoulder
2016,2,New York Giants,Robert Thomas,DT,Illness
2016,2,New York Giants,Olivier Vernon,DE,Wrist
2016,2,New York Jets,Bruce Carter,LB,Shoulder
2016,2,New York Jets,Kellen Davis,TE,Multiple
2016,2,New York Jets,Quincy Enunwa,WR,Rib
2016,2,New York Jets,David Harris,LB,Shoulder
2016,2,New York Jets,Jarvis Jenkins,DE,Knee
2016,2,New York Jets,Jordan Jenkins,LB,Calf
2016,2,New York Jets,Brandon Marshall,WR,Hip
2016,2,New York Jets,Bryce Petty,QB,Shoulder
2016,2,New York Jets,Darryl Roberts,DB,Foot
2016,2,New York Jets,Muhammad Wilkerson,DE,Multiple
2016,2,New York Jets,Marcus Williams,DB,Shoulder
2016,2,New York Jets,Brian Winters,OG,Multiple
2016,2,Oakland Raiders,Austin Howard,OT,Ankle
2016,2,Oakland Raiders,Rodney Hudson,C,Knee
2016,2,Oakland Raiders,Gabe Jackson,OG,Knee
2016,2,Oakland Raiders,Taiwan Jones,RB,Concussion
2016,2,Oakland Raiders,Matt McCants,OT,Knee
2016,2,Oakland Raiders,Menelik Watson,OT,Groin
2016,2,Philadelphia Eagles,Trey Burton,TE,Calf
2016,2,Philadelphia Eagles,Zach Ertz,TE,Rib
2016,2,Philadelphia Eagles,Leodis McKelvin,DB,Hamstring
2016,2,Philadelphia Eagles,Bryce Treggs,WR,Knee
2016,2,Pittsburgh Steelers,Senquez Golson,DB,Foot
2016,2,Pittsburgh Steelers,Roosevelt Nix,RB,Back
2016,2,Pittsburgh Steelers,Ryan Shazier,LB,Knee
2016,2,Pittsburgh Steelers,Cody Wallace,C,Knee
2016,2,Pittsburgh Steelers,Markus Wheaton,WR,Shoulder
2016,2,San Diego Chargers,Joey Bosa,DE,Hamstring
2016,2,San Diego Chargers,Nick Dzubnar,LB,Knee
2016,2,San Diego Chargers,Jason Verrett,DB,Calf
2016,2,San Francisco 49ers,Arik Armstead,DE,Multiple
2016,2,San Francisco 49ers,Nick Bellore,RB,Knee
2016,2,San Francisco 49ers,Marcus Cromartie,DB,Ankle
2016,2,San Francisco 49ers,Anthony Davis,OT,Concussion
2016,2,San Francisco 49ers,Chris Davis,DB,Hamstring
2016,2,San Francisco 49ers,Quinton Dial,DT,Knee
2016,2,San Francisco 49ers,Glenn Dorsey,DE,Knee
2016,2,San Francisco 49ers,Keith Reaser,DB,Ankle
2016,2,San Francisco 49ers,Andrew Tiller,OG,Ankle
2016,2,Seattle Seahawks,Jimmy Graham,TE,Knee
2016,2,Seattle Seahawks,Germain Ifedi,OT,Ankle
2016,2,Seattle Seahawks,C.J. Prosise,RB,Wrist
2016,2,Seattle Seahawks,Nick Vannett,TE,Ankle
2016,2,Seattle Seahawks,J'Marcus Webb,OT,Ankle
2016,2,Seattle Seahawks,Russell Wilson,QB,Ankle
2016,2,Tampa Bay Buccaneers,Robert Ayers,DE,Ankle
2016,2,Tampa Bay Buccaneers,Devante Bond,LB,Hamstring
2016,2,Tampa Bay Buccaneers,Lavonte David,LB,Shoulder
2016,2,Tampa Bay Buccaneers,Adarius Taylor,LB,Knee
2016,2,Tampa Bay Buccaneers,Ryan Smith,DB,Hand
2016,2,Tennessee Titans,Derrick Morgan,LB,Hamstring
2016,2,Tennessee Titans,Kendall Wright,WR,Hamstring
2016,2,Washington Redskins,Chris Baker,DE,Multiple
2016,2,Washington Redskins,David Bruton,DB,Chest
2016,2,Washington Redskins,Su'a Cravens,DB,Hip
2016,2,Washington Redskins,Josh Doctson,WR,Achilles
2016,2,Washington Redskins,Terence Garvin,LB,Illness
2016,2,Washington Redskins,Matt Jones,RB,Shoulder
2016,2,Washington Redskins,Morgan Moses,OT,Knee
2016,2,Washington Redskins,Kendall Reyes,DE,Groin
2016,2,Washington Redskins,Preston Smith,LB,Oblique
2016,2,Washington Redskins,Martrell Spaight,LB,Concussion
2016,2,Washington Redskins,Trent Williams,OT,Other
2016,3,Arizona Cardinals,Justin Bethel,DB,Foot
2016,3,Arizona Cardinals,Larry Fitzgerald,WR,Knee
2016,3,Arizona Cardinals,Kareem Martin,LB,Knee
2016,3,Arizona Cardinals,Evan Mathis,OG,Multiple
2016,3,Arizona Cardinals,Tyrann Mathieu,DB,Knee
2016,3,Arizona Cardinals,Kevin Minter,LB,Ankle
2016,3,Arizona Cardinals,J.J. Nelson,WR,Shoulder
2016,3,Arizona Cardinals,Robert Nkemdiche,DT,Ankle
2016,3,Arizona Cardinals,Frostee Rucker,DE,Knee
2016,3,Arizona Cardinals,Jared Veldheer,OT,Fibula
2016,3,Atlanta Falcons,De'Vondre Campbell,LB,Ankle
2016,3,Atlanta Falcons,Ra'Shede Hageman,DT,Illness
2016,3,Atlanta Falcons,Justin Hardy,WR,Shoulder
2016,3,Atlanta Falcons,Kemal Ishmael,DB,Shoulder
2016,3,Atlanta Falcons,Tyson Jackson,DE,Heel
2016,3,Atlanta Falcons,Grady Jarrett,DT,Elbow
2016,3,Atlanta Falcons,Julio Jones,WR,Calf
2016,3,Atlanta Falcons,Keanu Neal,DB,Knee
2016,3,Atlanta Falcons,Brooks Reed,LB,Shoulder
2016,3,Atlanta Falcons,Mohamed Sanu,WR,Ankle
2016,3,Atlanta Falcons,Paul Worrilow,LB,Groin
2016,3,Baltimore Ravens,Kenneth Dixon,RB,Knee
2016,3,Baltimore Ravens,Elvis Dumervil,DE,Foot
2016,3,Baltimore Ravens,Ronnie Stanley,OT,Foot
2016,3,Baltimore Ravens,John Urschel,C,Shoulder
2016,3,Buffalo Bills,Colt Anderson,DB,Foot
2016,3,Buffalo Bills,Charles Clay,TE,Knee
2016,3,Buffalo Bills,Ronald Darby,DB,Hamstring
2016,3,Buffalo Bills,Cordy Glenn,OT,Ankle
2016,3,Buffalo Bills,Cardale Jones,QB,Shoulder
2016,3,Buffalo Bills,Greg Salas,WR,Groin
2016,3,Buffalo Bills,Sammy Watkins,WR,Foot
2016,3,Carolina Panthers,Jeremy Cash,LB,Hamstring
2016,3,Carolina Panthers,Kawann Short,DT,Shoulder
2016,3,Carolina Panthers,Jonathan Stewart,RB,Hamstring
2016,3,Carolina Panthers,Trai Turner,OG,Ankle
2016,3,Chicago Bears,Adrian Amos,DB,Concussion
2016,3,Chicago Bears,Bryce Callahan,DB,Concussion
2016,3,Chicago Bears,Ka'Deem Carey,RB,Hamstring
2016,3,Chicago Bears,Jay Cutler,QB,Thumb
2016,3,Chicago Bears,Kyle Fuller,DB,Knee
2016,3,Chicago Bears,Eddie Goldman,DT,Ankle
2016,3,Chicago Bears,Lamarr Houston,DE,Knee
2016,3,Chicago Bears,Alshon Jeffery,WR,Knee
2016,3,Chicago Bears,Bobby Massie,OT,Toe
2016,3,Chicago Bears,Sherrick McManis,DB,Wrist
2016,3,Chicago Bears,Tracy Porter,DB,Knee
2016,3,Chicago Bears,Chris Prosinski,DB,Calf
2016,3,Chicago Bears,Josh Sitton,OG,Shoulder
2016,3,Chicago Bears,Will Sutton,DE,Elbow
2016,3,Chicago Bears,Danny Trevathan,LB,Thumb
2016,3,Chicago Bears,Willie Young,DE,Knee
2016,3,Cincinnati Bengals,Andy Dalton,QB,Hip
2016,3,Cincinnati Bengals,Darqueze Dennard,DB,Hamstring
2016,3,Cincinnati Bengals,Tyler Eifert,TE,Ankle
2016,3,Cincinnati Bengals,Dre Kirkpatrick,DB,Hamstring
2016,3,Cincinnati Bengals,Pat Sims,DT,Heel
2016,3,Cincinnati Bengals,C.J. Uzomah,TE,Rib
2016,3,Cincinnati Bengals,Eric Winston,OT,Back
2016,3,Cincinnati Bengals,James Wright,WR,Knee
2016,3,Cleveland Browns,Ibraheim Campbell,DB,Hamstring
2016,3,Cleveland Browns,Corey Coleman,WR,Hand
2016,3,Cleveland Browns,Cameron Erving,OT,Multiple
2016,3,Cleveland Browns,Joe Haden,DB,Groin
2016,3,Cleveland Browns,Josh McCown,QB,Shoulder
2016,3,Cleveland Browns,Patrick Murray,K,Knee
